region_code,region,location_code,location,period,gender,gender_code,life_expect_birth
AFR,Africa,GAB,Gabon,2019,Male,MLE,63.59
AFR,Africa,ZWE,Zimbabwe,2019,Female,FMLE,63.61
AFR,Africa,GHA,Ghana,2019,Male,MLE,63.66
AFR,Africa,KEN,Kenya,2019,Male,MLE,63.7
AFR,Africa,COG,Congo,2019,Male,MLE,63.81
WPR,Western Pacific,MNG,Mongolia,2019,Male,MLE,63.82
AFR,Africa,BDI,Burundi,2019,Both sexes,BTSX,63.84
AMR,Americas,HTI,Haiti,2019,Both sexes,BTSX,64.05
AFR,Africa,ERI,Eritrea,2019,Both sexes,BTSX,64.08
AFR,Africa,LBR,Liberia,2019,Both sexes,BTSX,64.08
EMR,Eastern Mediterranean,DJI,Djibouti,2019,Male,MLE,64.1
AFR,Africa,MDG,Madagascar,2019,Male,MLE,64.1
AFR,Africa,NGA,Nigeria,2019,Female,FMLE,64.1
AFR,Africa,TGO,Togo,2019,Both sexes,BTSX,64.27
EMR,Eastern Mediterranean,YEM,Yemen,2019,Male,MLE,64.41
AFR,Africa,CMR,Cameroon,2019,Female,FMLE,64.5
AFR,Africa,NER,Niger,2019,Female,FMLE,64.56
AFR,Africa,NAM,Namibia,2019,Both sexes,BTSX,64.58
EMR,Eastern Mediterranean,PAK,Pakistan,2019,Male,MLE,64.59
AFR,Africa,COG,Congo,2019,Both sexes,BTSX,64.74
AMR,Americas,HTI,Haiti,2019,Female,FMLE,64.76
AFR,Africa,COD,Democratic Republic of the Congo,2019,Female,FMLE,64.82
AFR,Africa,SSD,South Sudan,2019,Female,FMLE,64.84
AFR,Africa,LBR,Liberia,2019,Female,FMLE,65
AFR,Africa,BFA,Burkina Faso,2019,Female,FMLE,65.23
WPR,Western Pacific,SLB,Solomon Islands,2019,Both sexes,BTSX,65.25
AFR,Africa,ZAF,South Africa,2019,Both sexes,BTSX,65.25
WPR,Western Pacific,PNG,Papua New Guinea,2019,Both sexes,BTSX,65.3
WPR,Western Pacific,VUT,Vanuatu,2019,Both sexes,BTSX,65.31
AFR,Africa,MDG,Madagascar,2019,Both sexes,BTSX,65.35
AFR,Africa,TZA,United Republic of Tanzania,2019,Male,MLE,65.37
AFR,Africa,ZMB,Zambia,2019,Female,FMLE,65.37
AFR,Africa,BWA,Botswana,2019,Female,FMLE,65.46
AFR,Africa,GMB,Gambia,2019,Both sexes,BTSX,65.47
AFR,Africa,AGO,Angola,2019,Female,FMLE,65.52
AFR,Africa,COG,Congo,2019,Female,FMLE,65.61
EMR,Eastern Mediterranean,PAK,Pakistan,2019,Both sexes,BTSX,65.61
AFR,Africa,MWI,Malawi,2019,Both sexes,BTSX,65.62
AFR,Africa,BEN,Benin,2019,Female,FMLE,65.66
AMR,Americas,GUY,Guyana,2019,Both sexes,BTSX,65.69
AFR,Africa,CIV,Côte d’Ivoire,2019,Female,FMLE,65.81
EMR,Eastern Mediterranean,DJI,Djibouti,2019,Both sexes,BTSX,65.81
SEAR,South-East Asia,MMR,Myanmar,2019,Male,MLE,65.91
AFR,Africa,COM,Comoros,2019,Male,MLE,65.92
WPR,Western Pacific,FJI,Fiji,2019,Male,MLE,65.93
WPR,Western Pacific,FSM,Micronesia (Federated States of),2019,Female,FMLE,66.05
AFR,Africa,KEN,Kenya,2019,Both sexes,BTSX,66.09
AFR,Africa,BDI,Burundi,2019,Female,FMLE,66.14
WPR,Western Pacific,LAO,Lao People's Democratic Republic,2019,Male,MLE,66.19
AFR,Africa,GHA,Ghana,2019,Both sexes,BTSX,66.28
AFR,Africa,GAB,Gabon,2019,Both sexes,BTSX,66.47
EUR,Europe,TKM,Turkmenistan,2019,Male,MLE,66.48
