IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
ORALHEALTH_SUGAR_AVAILABILITY,Per capita availability of refined sugar (g/day),numeric,EUR,Europe,Country,ESP,Spain,Year,2019,TRUE,Sex,Both sexes,BTSX,,,,,,,,,,89.42,,,,,,89.42,,,EN,2023-04-19T12:00:00.000Z
ORALHEALTH_SUGAR_AVAILABILITY,Per capita availability of refined sugar (g/day),numeric,AFR,Africa,Country,BDI,Burundi,Year,2019,TRUE,Sex,Both sexes,BTSX,,,,,,,,,,9.23,,,,,,9.23,,,EN,2023-04-19T12:00:00.000Z
ORALHEALTH_SUGAR_AVAILABILITY,Per capita availability of refined sugar (g/day),numeric,AFR,Africa,Country,GNB,Guinea-Bissau,Year,2019,TRUE,Sex,Both sexes,BTSX,,,,,,,,,,9.78,,,,,,9.78,,,EN,2023-04-19T12:00:00.000Z
ORALHEALTH_SUGAR_AVAILABILITY,Per capita availability of refined sugar (g/day),numeric,EMR,Eastern Mediterranean,Country,TUN,Tunisia,Year,2019,TRUE,Sex,Both sexes,BTSX,,,,,,,,,,90.58,,,,,,90.58,,,EN,2023-04-19T12:00:00.000Z
ORALHEALTH_SUGAR_AVAILABILITY,Per capita availability of refined sugar (g/day),numeric,AMR,Americas,Country,USA,United States of America,Year,2019,TRUE,Sex,Both sexes,BTSX,,,,,,,,,,90.66,,,,,,90.66,,,EN,2023-04-19T12:00:00.000Z
ORALHEALTH_SUGAR_AVAILABILITY,Per capita availability of refined sugar (g/day),numeric,EUR,Europe,Country,UKR,Ukraine,Year,2019,TRUE,Sex,Both sexes,BTSX,,,,,,,,,,91.26,,,,,,91.26,,,EN,2023-04-19T12:00:00.000Z
ORALHEALTH_SUGAR_AVAILABILITY,Per capita availability of refined sugar (g/day),numeric,AFR,Africa,Country,SYC,Seychelles,Year,2019,TRUE,Sex,Both sexes,BTSX,,,,,,,,,,91.32,,,,,,91.32,,,EN,2023-04-19T12:00:00.000Z
ORALHEALTH_SUGAR_AVAILABILITY,Per capita availability of refined sugar (g/day),numeric,EUR,Europe,Country,ISR,Israel,Year,2019,TRUE,Sex,Both sexes,BTSX,,,,,,,,,,91.42,,,,,,91.42,,,EN,2023-04-19T12:00:00.000Z
ORALHEALTH_SUGAR_AVAILABILITY,Per capita availability of refined sugar (g/day),numeric,EMR,Eastern Mediterranean,Country,MAR,Morocco,Year,2019,TRUE,Sex,Both sexes,BTSX,,,,,,,,,,91.81,,,,,,91.81,,,EN,2023-04-19T12:00:00.000Z
ORALHEALTH_SUGAR_AVAILABILITY,Per capita availability of refined sugar (g/day),numeric,AMR,Americas,Country,GRD,Grenada,Year,2019,TRUE,Sex,Both sexes,BTSX,,,,,,,,,,91.97,,,,,,91.97,,,EN,2023-04-19T12:00:00.000Z
ORALHEALTH_SUGAR_AVAILABILITY,Per capita availability of refined sugar (g/day),numeric,EUR,Europe,Country,SWE,Sweden,Year,2019,TRUE,Sex,Both sexes,BTSX,,,,,,,,,,92.36,,,,,,92.36,,,EN,2023-04-19T12:00:00.000Z
